Id,chuva -3,chuva -2,chuva -1,chuvaA,chuva +1,chuva +2,temp-3,temp-2,temp-1,tempA,temp+1,temp+2,bilro,Producao
55,562.6,369.3,242,30.5,114.2,185.7,25.23,25.36,25.27,25.27,24,22.62,4.9,20542.97
56,399.8,272.5,30.5,114.2,185.7,217.7,25.36,25.27,25.27,24,22.62,22.22,3.24,13594.68
57,386.7,144.7,114.2,185.7,217.7,38.3,25.27,25.27,24,22.62,22.22,21.72,2.26,9457.59
58,330.4,299.9,185.7,217.7,38.3,90.1,25.27,24,22.62,22.22,21.72,22.67,2.11,8846.57
59,517.6,403.4,217.7,38.3,90.1,112.7,24,22.62,22.22,21.72,22.67,23.68,1.48,6221.34
60,441.7,256,38.3,90.1,112.7,152.8,22.62,22.22,21.72,22.67,23.68,24.54,1.30,5472.65
61,346.1,128.4,90.1,112.7,152.8,315.4,22.22,21.72,22.67,23.68,24.54,24.7,0.77,2883.49
62,241.1,202.8,112.7,152.8,315.4,99.8,21.72,22.67,23.68,24.54,24.7,25.16,0.66,2465.47
63,355.6,265.5,152.8,315.4,99.8,114.8,22.67,23.68,24.54,24.7,25.16,25.5,3.50,12971.44
64,580.9,468.2,315.4,99.8,114.8,80.3,23.68,24.54,24.7,25.16,25.5,25.79,9.64,35715.19
65,568,415.2,99.8,114.8,80.3,42.5,24.54,24.7,25.16,25.5,25.79,25.36,6.70,24821.05
66,530,214.6,114.8,80.3,42.5,67.4,24.7,25.16,25.5,25.79,25.36,24.64,4.13,15153.26
67,294.9,195.1,80.3,42.5,67.4,361.4,25.16,25.5,25.79,25.36,24.64,22.36,2.72,10083.69
68,237.6,122.8,42.5,67.4,361.4,179.5,25.5,25.79,25.36,24.64,22.36,21.57,2.32,8612.08
69,190.2,109.9,67.4,361.4,179.5,131.4,25.79,25.36,24.64,22.36,21.57,21.45,2.28,8458.52
70,471.3,428.8,361.4,179.5,131.4,52.7,25.36,24.64,22.36,21.57,21.45,23.24,4.03,14910.12
71,608.3,540.9,179.5,131.4,52.7,216.5,24.64,22.36,21.57,21.45,23.24,24.44,2.79,10343.88
72,672.3,310.9,131.4,52.7,216.5,168.4,22.36,21.57,21.45,23.24,24.44,26.07,1.27,4717.66
73,363.6,184.1,52.7,216.5,168.4,61.6,21.57,21.45,23.24,24.44,26.07,26.51,0.12,404.82
74,400.6,269.2,216.5,168.4,61.6,187.1,21.45,23.24,24.44,26.07,26.51,26.73,0.43,1427.22
75,437.6,384.9,168.4,61.6,187.1,9.5,23.24,24.44,26.07,26.51,26.73,26.7,2.46,8062.49
76,446.5,230,61.6,187.1,9.5,70.6,24.44,26.07,26.51,26.73,26.7,26.85,1.44,4718.5
77,417.1,248.7,187.1,9.5,70.6,91.1,26.07,26.51,26.73,26.7,26.85,25.22,1.5,5008.46
