Id,m,temp-3,temp-2,temp-1,tempA,chuva -2,chuva -1,chuvaA,bilro,Producao
49,10,21.99,21.62,22.64,23.58,283.6,158.5,119.3,0.39,1647.11
50,11,21.62,22.64,23.58,24.38,277.8,119.3,377,0.15,647.25
51,12,22.64,23.58,24.38,25.61,496.3,377,112.1,1.26,5301.18
52,1,23.58,24.38,25.61,25.23,489.1,112.1,193.3,5.11,21436.56
53,2,24.38,25.61,25.23,25.36,305.4,193.3,127.3,7.01,29372.63
54,3,25.61,25.23,25.36,25.27,320.6,127.3,242,6.77,28375.19
55,4,25.23,25.36,25.27,25.27,369.3,242,30.5,4.9,20542.97
56,5,25.36,25.27,25.27,24,272.5,30.5,114.2,3.24,13594.68
57,6,25.27,25.27,24,22.62,144.7,114.2,185.7,2.26,9457.59
58,7,25.27,24,22.62,22.22,299.9,185.7,217.7,2.11,8846.57
59,8,24,22.62,22.22,21.72,403.4,217.7,38.3,1.48,6221.34
60,9,22.62,22.22,21.72,22.67,256,38.3,90.1,1.3,5472.65
61,10,22.22,21.72,22.67,23.68,128.4,90.1,112.7,0.77,2883.49
62,11,21.72,22.67,23.68,24.54,202.8,112.7,152.8,0.66,2465.47
63,12,22.67,23.68,24.54,24.7,265.5,152.8,315.4,3.5,12971.44
64,1,23.68,24.54,24.7,25.16,468.2,315.4,99.8,9.64,35715.19
65,2,24.54,24.7,25.16,25.5,415.2,99.8,114.8,6.7,24821.05
66,3,24.7,25.16,25.5,25.79,214.6,114.8,80.3,4.13,15153.26
67,4,25.16,25.5,25.79,25.36,195.1,80.3,42.5,2.72,10083.69
68,5,25.5,25.79,25.36,24.64,122.8,42.5,67.4,2.32,8612.08
69,6,25.79,25.36,24.64,22.36,109.9,67.4,361.4,2.28,8458.52
70,7,25.36,24.64,22.36,21.57,428.8,361.4,179.5,4.03,14910.12
71,8,24.64,22.36,21.57,21.45,540.9,179.5,131.4,2.79,10343.88
72,9,22.36,21.57,21.45,23.24,310.9,131.4,216.5,1.27,4717.66
73,10,21.57,21.45,23.24,24.44,184.1,52.7,168.4,0.12,404.82
74,11,21.45,23.24,24.44,26.07,269.2,216.5,61.6,0.43,1427.22
75,12,23.24,24.44,26.07,26.51,384.9,168.4,187.1,2.46,8062.49
76,1,24.44,26.07,26.51,26.73,230,61.6,9.5,1.44,4718.5
77,2,26.07,26.51,26.73,26.7,248.7,187.1,70.6,1.5,5008.46
78,3,26.51,26.73,26.7,26.85,196.6,9.5,91.1,1.8,5887.77
79,4,26.73,26.7,26.85,25.22,80.1,70.6,66,1.08,3524.75
80,5,26.7,26.85,25.22,24.03,161.7,91.1,35.8,4.53,14829.56
81,6,26.85,25.22,24.03,23.31,157.1,66,180.5,8.29,27102.18
82,7,25.22,24.03,23.31,22.11,101.8,35.8,131.2,2.1,6857.45
83,8,24.03,23.31,22.11,22.18,216.3,180.5,51.9,3.23,10566.72
84,9,23.31,22.11,22.18,22.5,311.7,131.2,216.5,5.03,16430.01
85,10,22.11,22.18,22.5,24.32,183.1,51.9,168.4,1.43,5063.04
86,11,22.18,22.5,24.32,24.82,268.4,216.5,61.6,1.24,4402.82
87,12,22.5,24.32,24.82,25.81,384.9,168.4,67.3,1.02,3630.18
88,1,24.32,24.82,25.81,26.04,230,61.6,90.1,1.54,5486.15
