Id,m,temp-1,tempA,temp+1,temp+2,chuvaA,bilro,Producao
34,7,22.46,21.47,20.95,22.34,94.4,5.51,21920.93
35,8,21.47,20.95,22.34,23,230.2,3.61,14348.5
36,9,20.95,22.34,23,24.55,34.4,0.55,2210.63
37,10,22.34,23,24.55,25.04,134.7,0.41,1834.89
38,11,23,24.55,25.04,25.56,130.1,0.59,2689.01
39,12,24.55,25.04,25.56,25.12,17.2,2.04,9226.42
40,1,25.04,25.56,25.12,25.62,199.1,3.17,14328.39
41,2,25.56,25.12,25.62,24.5,229,1.42,6430.24
42,3,25.12,25.62,24.5,23.57,51.1,3.9,17611.71
43,4,25.62,24.5,23.57,22.75,108.7,3.56,16069.1
44,5,24.5,23.57,22.75,21.99,72.3,5.47,24691.47
45,6,23.57,22.75,21.99,21.62,241.9,4.12,18582.74
46,7,22.75,21.99,21.62,22.64,128.2,1.91,8625.61
47,8,21.99,21.62,22.64,23.58,125.1,1.62,7307.09
48,9,21.62,22.64,23.58,24.38,158.5,1.17,5283.85
49,10,22.64,23.58,24.38,25.61,119.3,0.39,1647.11
50,11,23.58,24.38,25.61,25.23,377,0.15,647.25
51,12,24.38,25.61,25.23,25.36,112.1,1.26,5301.18
52,1,25.61,25.23,25.36,25.27,193.3,5.11,21436.56
53,2,25.23,25.36,25.27,25.27,127.3,7.01,29372.63
54,3,25.36,25.27,25.27,24,242,6.77,28375.19
55,4,25.27,25.27,24,22.62,30.5,4.9,20542.97
56,5,25.27,24,22.62,22.22,114.2,3.24,13594.68
57,6,24,22.62,22.22,21.72,185.7,2.26,9457.59
58,7,22.62,22.22,21.72,22.67,217.7,2.11,8846.57
59,8,22.22,21.72,22.67,23.68,38.3,1.48,6221.34
60,9,21.72,22.67,23.68,24.54,90.1,1.3,5472.65
61,10,22.67,23.68,24.54,24.7,112.7,0.77,2883.49
62,11,23.68,24.54,24.7,25.16,152.8,0.66,2465.47
63,12,24.54,24.7,25.16,25.5,315.4,3.5,12971.44
64,1,24.7,25.16,25.5,25.79,99.8,9.64,35715.19
65,2,25.16,25.5,25.79,25.36,114.8,6.7,24821.05
66,3,25.5,25.79,25.36,24.64,80.3,4.13,15153.26
67,4,25.79,25.36,24.64,22.36,42.5,2.72,10083.69
68,5,25.36,24.64,22.36,21.57,67.4,2.32,8612.08
69,6,24.64,22.36,21.57,21.45,361.4,2.28,8458.52
70,7,22.36,21.57,21.45,23.24,179.5,4.03,14910.12
71,8,21.57,21.45,23.24,24.44,131.4,2.79,10343.88
72,9,21.45,23.24,24.44,26.07,216.5,1.27,4717.66
73,10,23.24,24.44,26.07,26.51,168.4,0.12,404.82
74,11,24.44,26.07,26.51,26.73,61.6,0.43,1427.22
75,12,26.07,26.51,26.73,26.7,187.1,2.46,8062.49
76,1,26.51,26.73,26.7,26.85,9.5,1.44,4718.5
77,2,26.73,26.7,26.85,25.22,70.6,1.5,5008.46
78,3,26.7,26.85,25.22,24.03,91.1,1.8,5887.77
79,4,26.85,25.22,24.03,23.31,66,1.08,3524.75
80,5,25.22,24.03,23.31,22.11,35.8,4.53,14829.56
81,6,24.03,23.31,22.11,22.18,180.5,8.29,27102.18
82,7,23.31,22.11,22.18,22.5,131.2,2.1,6857.45
83,8,22.11,22.18,22.5,24.32,51.9,3.23,10566.72
84,9,22.18,22.5,24.32,24.82,216.5,5.03,16430.01
85,10,22.5,24.32,24.82,25.81,168.4,1.43,5063.04
86,11,24.32,24.82,25.81,26.04,61.6,1.24,4402.82
87,12,24.82,25.81,26.04,25.24,67.3,1.02,3630.18
88,1,25.81,26.04,25.24,25.5,90.1,1.54,5486.15
